parAdjacencia-false numeroMsgsEntreAeB=4 primeiraPalavraA=ia ultimaPalavraA=artig primeiraPalavraB=tem ultimaPalavraB=turm mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=5 primeiraPalavraA=heuaheuaheu ultimaPalavraA=heuaheuaheu primeiraPalavraB=tem ultimaPalavraB=turm mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=6 primeiraPalavraA=é ultimaPalavraA=qc primeiraPalavraB=tem ultimaPalavraB=turm mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=7 primeiraPalavraA=aff ultimaPalavraA=aff primeiraPalavraB=tem ultimaPalavraB=turm mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=8 primeiraPalavraA=respond ultimaPalavraA=moodl primeiraPalavraB=tem ultimaPalavraB=turm mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=9 primeiraPalavraA=ah ultimaPalavraA=msm primeiraPalavraB=tem ultimaPalavraB=turm mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=10 primeiraPalavraA=fal ultimaPalavraA=moodl primeiraPalavraB=tem ultimaPalavraB=turm mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=11 primeiraPalavraA=oq ultimaPalavraA=diss primeiraPalavraB=tem ultimaPalavraB=turm mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=12 primeiraPalavraA=kkkkk ultimaPalavraA=email primeiraPalavraB=tem ultimaPalavraB=turm mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=13 primeiraPalavraA=huaheu ultimaPalavraA=heuaheu primeiraPalavraB=tem ultimaPalavraB=turm mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=14 primeiraPalavraA=rsrsrsrsrs ultimaPalavraA=rsrsrsrsrs primeiraPalavraB=tem ultimaPalavraB=turm mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=15 primeiraPalavraA=heuaheaheaheu ultimaPalavraA=tenh primeiraPalavraB=tem ultimaPalavraB=turm mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=16 primeiraPalavraA=eh ultimaPalavraA=mmo primeiraPalavraB=tem ultimaPalavraB=turm mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=17 primeiraPalavraA=puuuuxaaa ultimaPalavraA=neh primeiraPalavraB=tem ultimaPalavraB=turm mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=18 primeiraPalavraA=rs ultimaPalavraA=noit primeiraPalavraB=tem ultimaPalavraB=turm mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=-1 primeiraPalavraA=pra ultimaPalavraA=cois primeiraPalavraB=pra ultimaPalavraB=cois mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=tem ultimaPalavraA=turm primeiraPalavraB=pra ultimaPalavraB=cois mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=agent ultimaPalavraA=turm primeiraPalavraB=pra ultimaPalavraB=cois mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=é ultimaPalavraA=é primeiraPalavraB=pra ultimaPalavraB=cois mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=3 primeiraPalavraA=tinh ultimaPalavraA=adi primeiraPalavraB=pra ultimaPalavraB=cois mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=4 primeiraPalavraA=car ultimaPalavraA=lig primeiraPalavraB=pra ultimaPalavraB=cois mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=5 primeiraPalavraA=ia ultimaPalavraA=artig primeiraPalavraB=pra ultimaPalavraB=cois mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=6 primeiraPalavraA=heuaheuaheu ultimaPalavraA=heuaheuaheu primeiraPalavraB=pra ultimaPalavraB=cois mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=7 primeiraPalavraA=é ultimaPalavraA=qc primeiraPalavraB=pra ultimaPalavraB=cois mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=8 primeiraPalavraA=aff ultimaPalavraA=aff primeiraPalavraB=pra ultimaPalavraB=cois mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=9 primeiraPalavraA=respond ultimaPalavraA=moodl primeiraPalavraB=pra ultimaPalavraB=cois mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=10 primeiraPalavraA=ah ultimaPalavraA=msm primeiraPalavraB=pra ultimaPalavraB=cois mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=11 primeiraPalavraA=fal ultimaPalavraA=moodl primeiraPalavraB=pra ultimaPalavraB=cois mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=12 primeiraPalavraA=oq ultimaPalavraA=diss primeiraPalavraB=pra ultimaPalavraB=cois mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=13 primeiraPalavraA=kkkkk ultimaPalavraA=email primeiraPalavraB=pra ultimaPalavraB=cois mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=14 primeiraPalavraA=huaheu ultimaPalavraA=heuaheu primeiraPalavraB=pra ultimaPalavraB=cois mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=15 primeiraPalavraA=rsrsrsrsrs ultimaPalavraA=rsrsrsrsrs primeiraPalavraB=pra ultimaPalavraB=cois mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=16 primeiraPalavraA=heuaheaheaheu ultimaPalavraA=tenh primeiraPalavraB=pra ultimaPalavraB=cois mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=17 primeiraPalavraA=eh ultimaPalavraA=mmo primeiraPalavraB=pra ultimaPalavraB=cois mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=18 primeiraPalavraA=puuuuxaaa ultimaPalavraA=neh primeiraPalavraB=pra ultimaPalavraB=cois mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=-1 primeiraPalavraA=bom ultimaPalavraA=bja primeiraPalavraB=bom ultimaPalavraB=bja mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=pra ultimaPalavraA=cois primeiraPalavraB=bom ultimaPalavraB=bja mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=tem ultimaPalavraA=turm primeiraPalavraB=bom ultimaPalavraB=bja mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=agent ultimaPalavraA=turm primeiraPalavraB=bom ultimaPalavraB=bja mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=3 primeiraPalavraA=é ultimaPalavraA=é primeiraPalavraB=bom ultimaPalavraB=bja mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=4 primeiraPalavraA=tinh ultimaPalavraA=adi primeiraPalavraB=bom ultimaPalavraB=bja mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=5 primeiraPalavraA=car ultimaPalavraA=lig primeiraPalavraB=bom ultimaPalavraB=bja mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=6 primeiraPalavraA=ia ultimaPalavraA=artig primeiraPalavraB=bom ultimaPalavraB=bja mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=7 primeiraPalavraA=heuaheuaheu ultimaPalavraA=heuaheuaheu primeiraPalavraB=bom ultimaPalavraB=bja mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=8 primeiraPalavraA=é ultimaPalavraA=qc primeiraPalavraB=bom ultimaPalavraB=bja mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=9 primeiraPalavraA=aff ultimaPalavraA=aff primeiraPalavraB=bom ultimaPalavraB=bja mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=10 primeiraPalavraA=respond ultimaPalavraA=moodl primeiraPalavraB=bom ultimaPalavraB=bja mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=11 primeiraPalavraA=ah ultimaPalavraA=msm primeiraPalavraB=bom ultimaPalavraB=bja mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=12 primeiraPalavraA=fal ultimaPalavraA=moodl primeiraPalavraB=bom ultimaPalavraB=bja mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=13 primeiraPalavraA=oq ultimaPalavraA=diss primeiraPalavraB=bom ultimaPalavraB=bja mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=14 primeiraPalavraA=kkkkk ultimaPalavraA=email primeiraPalavraB=bom ultimaPalavraB=bja mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=15 primeiraPalavraA=huaheu ultimaPalavraA=heuaheu primeiraPalavraB=bom ultimaPalavraB=bja mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=16 primeiraPalavraA=rsrsrsrsrs ultimaPalavraA=rsrsrsrsrs primeiraPalavraB=bom ultimaPalavraB=bja mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=17 primeiraPalavraA=heuaheaheaheu ultimaPalavraA=tenh primeiraPalavraB=bom ultimaPalavraB=bja mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=18 primeiraPalavraA=eh ultimaPalavraA=mmo primeiraPalavraB=bom ultimaPalavraB=bja mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=-1 primeiraPalavraA=par ultimaPalavraA=tamb primeiraPalavraB=par ultimaPalavraB=tamb mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-true numeroMsgsEntreAeB=-1 primeiraPalavraA=sim ultimaPalavraA=sim primeiraPalavraB=sim ultimaPalavraB=sim mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=par ultimaPalavraA=tamb primeiraPalavraB=sim ultimaPalavraB=sim mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=-1 primeiraPalavraA=q ultimaPalavraA=rs primeiraPalavraB=q ultimaPalavraB=rs mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=sim ultimaPalavraA=sim primeiraPalavraB=q ultimaPalavraB=rs mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=par ultimaPalavraA=tamb primeiraPalavraB=q ultimaPalavraB=rs mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=-1 primeiraPalavraA=ta ultimaPalavraA=lci primeiraPalavraB=ta ultimaPalavraB=lci mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-true numeroMsgsEntreAeB=-1 primeiraPalavraA=to ultimaPalavraA=to primeiraPalavraB=to ultimaPalavraB=to mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=ta ultimaPalavraA=lci primeiraPalavraB=to ultimaPalavraB=to mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=-1 primeiraPalavraA=monitor ultimaPalavraA=aul primeiraPalavraB=monitor ultimaPalavraB=aul mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=to ultimaPalavraA=to primeiraPalavraB=monitor ultimaPalavraB=aul mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=ta ultimaPalavraA=lci primeiraPalavraB=monitor ultimaPalavraB=aul mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-true numeroMsgsEntreAeB=-1 primeiraPalavraA= ultimaPalavraA= primeiraPalavraB= ultimaPalavraB= mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=monitor ultimaPalavraA=aul primeiraPalavraB= ultimaPalavraB= mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=to ultimaPalavraA=to primeiraPalavraB= ultimaPalavraB= mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=ta ultimaPalavraA=lci primeiraPalavraB= ultimaPalavraB= mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=-1 primeiraPalavraA=ueh ultimaPalavraA=ueh primeiraPalavraB=ueh ultimaPalavraB=ueh mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA= ultimaPalavraA= primeiraPalavraB=ueh ultimaPalavraB=ueh mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=monitor ultimaPalavraA=aul primeiraPalavraB=ueh ultimaPalavraB=ueh mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=to ultimaPalavraA=to primeiraPalavraB=ueh ultimaPalavraB=ueh mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=3 primeiraPalavraA=ta ultimaPalavraA=lci primeiraPalavraB=ueh ultimaPalavraB=ueh mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=-1 primeiraPalavraA=já ultimaPalavraA=foi primeiraPalavraB=já ultimaPalavraB=foi mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=ueh ultimaPalavraA=ueh primeiraPalavraB=já ultimaPalavraB=foi mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-true numeroMsgsEntreAeB=1 primeiraPalavraA= ultimaPalavraA= primeiraPalavraB=já ultimaPalavraB=foi mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=monitor ultimaPalavraA=aul primeiraPalavraB=já ultimaPalavraB=foi mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=3 primeiraPalavraA=to ultimaPalavraA=to primeiraPalavraB=já ultimaPalavraB=foi mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=4 primeiraPalavraA=ta ultimaPalavraA=lci primeiraPalavraB=já ultimaPalavraB=foi mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=-1 primeiraPalavraA=n ultimaPalavraA=ai primeiraPalavraB=n ultimaPalavraB=ai mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=já ultimaPalavraA=foi primeiraPalavraB=n ultimaPalavraB=ai mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=ueh ultimaPalavraA=ueh primeiraPalavraB=n ultimaPalavraB=ai mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA= ultimaPalavraA= primeiraPalavraB=n ultimaPalavraB=ai mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=3 primeiraPalavraA=monitor ultimaPalavraA=aul primeiraPalavraB=n ultimaPalavraB=ai mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=4 primeiraPalavraA=to ultimaPalavraA=to primeiraPalavraB=n ultimaPalavraB=ai mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=5 primeiraPalavraA=ta ultimaPalavraA=lci primeiraPalavraB=n ultimaPalavraB=ai mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-true numeroMsgsEntreAeB=-1 primeiraPalavraA=envi ultimaPalavraA=email primeiraPalavraB=envi ultimaPalavraB=email mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=n ultimaPalavraA=ai primeiraPalavraB=envi ultimaPalavraB=email mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=já ultimaPalavraA=foi primeiraPalavraB=envi ultimaPalavraB=email mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=ueh ultimaPalavraA=ueh primeiraPalavraB=envi ultimaPalavraB=email mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=3 primeiraPalavraA= ultimaPalavraA= primeiraPalavraB=envi ultimaPalavraB=email mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=4 primeiraPalavraA=monitor ultimaPalavraA=aul primeiraPalavraB=envi ultimaPalavraB=email mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=5 primeiraPalavraA=to ultimaPalavraA=to primeiraPalavraB=envi ultimaPalavraB=email mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=6 primeiraPalavraA=ta ultimaPalavraA=lci primeiraPalavraB=envi ultimaPalavraB=email mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-true numeroMsgsEntreAeB=-1 primeiraPalavraA=aff ultimaPalavraA=lci primeiraPalavraB=aff ultimaPalavraB=lci mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=envi ultimaPalavraA=email primeiraPalavraB=aff ultimaPalavraB=lci mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=n ultimaPalavraA=ai primeiraPalavraB=aff ultimaPalavraB=lci mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=já ultimaPalavraA=foi primeiraPalavraB=aff ultimaPalavraB=lci mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=3 primeiraPalavraA=ueh ultimaPalavraA=ueh primeiraPalavraB=aff ultimaPalavraB=lci mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=4 primeiraPalavraA= ultimaPalavraA= primeiraPalavraB=aff ultimaPalavraB=lci mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=5 primeiraPalavraA=monitor ultimaPalavraA=aul primeiraPalavraB=aff ultimaPalavraB=lci mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=6 primeiraPalavraA=to ultimaPalavraA=to primeiraPalavraB=aff ultimaPalavraB=lci mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=7 primeiraPalavraA=ta ultimaPalavraA=lci primeiraPalavraB=aff ultimaPalavraB=lci mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-true numeroMsgsEntreAeB=-1 primeiraPalavraA=vei ultimaPalavraA=vei primeiraPalavraB=vei ultimaPalavraB=vei mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=aff ultimaPalavraA=lci primeiraPalavraB=vei ultimaPalavraB=vei mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=envi ultimaPalavraA=email primeiraPalavraB=vei ultimaPalavraB=vei mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=n ultimaPalavraA=ai primeiraPalavraB=vei ultimaPalavraB=vei mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=3 primeiraPalavraA=já ultimaPalavraA=foi primeiraPalavraB=vei ultimaPalavraB=vei mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=4 primeiraPalavraA=ueh ultimaPalavraA=ueh primeiraPalavraB=vei ultimaPalavraB=vei mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=5 primeiraPalavraA= ultimaPalavraA= primeiraPalavraB=vei ultimaPalavraB=vei mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=6 primeiraPalavraA=monitor ultimaPalavraA=aul primeiraPalavraB=vei ultimaPalavraB=vei mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=7 primeiraPalavraA=to ultimaPalavraA=to primeiraPalavraB=vei ultimaPalavraB=vei mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=8 primeiraPalavraA=ta ultimaPalavraA=lci primeiraPalavraB=vei ultimaPalavraB=vei mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=-1 primeiraPalavraA=flw ultimaPalavraA=oq primeiraPalavraB=flw ultimaPalavraB=oq mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=vei ultimaPalavraA=vei primeiraPalavraB=flw ultimaPalavraB=oq mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=aff ultimaPalavraA=lci primeiraPalavraB=flw ultimaPalavraB=oq mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=envi ultimaPalavraA=email primeiraPalavraB=flw ultimaPalavraB=oq mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=3 primeiraPalavraA=n ultimaPalavraA=ai primeiraPalavraB=flw ultimaPalavraB=oq mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=4 primeiraPalavraA=já ultimaPalavraA=foi primeiraPalavraB=flw ultimaPalavraB=oq mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=5 primeiraPalavraA=ueh ultimaPalavraA=ueh primeiraPalavraB=flw ultimaPalavraB=oq mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=6 primeiraPalavraA= ultimaPalavraA= primeiraPalavraB=flw ultimaPalavraB=oq mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=7 primeiraPalavraA=monitor ultimaPalavraA=aul primeiraPalavraB=flw ultimaPalavraB=oq mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=8 primeiraPalavraA=to ultimaPalavraA=to primeiraPalavraB=flw ultimaPalavraB=oq mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=9 primeiraPalavraA=ta ultimaPalavraA=lci primeiraPalavraB=flw ultimaPalavraB=oq mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=-1 primeiraPalavraA=flw ultimaPalavraA=oq primeiraPalavraB=fic ultimaPalavraB=temp mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-true numeroMsgsEntreAeB=0 primeiraPalavraA=vei ultimaPalavraA=vei primeiraPalavraB=fic ultimaPalavraB=temp mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=aff ultimaPalavraA=lci primeiraPalavraB=fic ultimaPalavraB=temp mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=envi ultimaPalavraA=email primeiraPalavraB=fic ultimaPalavraB=temp mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=3 primeiraPalavraA=n ultimaPalavraA=ai primeiraPalavraB=fic ultimaPalavraB=temp mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=4 primeiraPalavraA=já ultimaPalavraA=foi primeiraPalavraB=fic ultimaPalavraB=temp mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=5 primeiraPalavraA=ueh ultimaPalavraA=ueh primeiraPalavraB=fic ultimaPalavraB=temp mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=6 primeiraPalavraA= ultimaPalavraA= primeiraPalavraB=fic ultimaPalavraB=temp mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=7 primeiraPalavraA=monitor ultimaPalavraA=aul primeiraPalavraB=fic ultimaPalavraB=temp mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=8 primeiraPalavraA=to ultimaPalavraA=to primeiraPalavraB=fic ultimaPalavraB=temp mensagemATemNomeB=false mensagemBTemNomeA=false ?
